# File: OTAQ_land_protection_L3_IUCN1_2.csv
# Title: land protection fractions by GCAM water basin
# Units: Percent
# Source: OTAQ (Diana Galperin)
# Column types: iccccicnnn
# ----------
GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,Basin area (Sq. Meters),Suitable Area (Sq. Meters),Percent Suitable
211,Tasmania,GLU211,Tasmania,AUS,36,Australia,"68,319,120,452.01","50,181,837,960.00",73.45%
212,South_America_Colorado,GLU212,ArgColoR,ARG,32,Argentina,"378,698,828,100.32","165,627,831,707.00",43.74%
213,Negro,GLU213,NegroR,ARG,32,Argentina,"161,897,593,227.87","60,067,085,752.80",37.10%
214,Central_Patagonia_Highlands,GLU214,Patagonia,ARG,32,Argentina,"119,672,583,255.00","1,330,429,744.89",1.11%
215,South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,ARG,32,Argentina,"474,998,748,439.89","36,403,560,850.50",7.66%
216,Antarctica,GLU216,Antarctica,ATF,260,French Southern Territories,"11,796,843,251.84","23,729,667.94",0.20%
217,California_River_Basin,GLU217,California,USA,840,United States,"424,820,000,387.28","205,970,312,870.00",48.48%
218,Upper_Mississippi_Basin,GLU218,MissppRN,USA,840,United States,"491,869,663,399.00","466,422,852,316.00",94.83%
219,Lower_Mississippi_River_Basin,GLU219,MissppRS,USA,840,United States,"258,271,938,514.00","243,875,661,671.00",94.43%
220,Upper_Colorado_River_Basin,GLU220,UsaColoRN,USA,840,United States,"293,442,166,777.00","98,596,906,677.40",33.60%
221,Lower_Colorado_River_Basin,GLU221,UsaColoRS,USA,840,United States,"417,545,502,871.73","230,447,328,975.00",55.19%
222,Great_Basin,GLU222,GreatBasin,USA,840,United States,"367,434,408,653.00","69,173,754,957.90",18.83%
223,Missouri_River_Basin,GLU223,MissouriR,USA,840,United States,"1,355,561,363,155.60","1,252,587,978,640.00",92.40%
224,Arkansas_White_Red_Basin,GLU224,ArkWhtRedR,USA,840,United States,"649,004,894,076.00","629,473,014,748.00",96.99%
225,Texas_Gulf_Coast_Basin,GLU225,TexasCst,USA,840,United States,"461,050,238,049.00","438,905,506,600.00",95.20%
226,South_Atlantic_Gulf_Basin,GLU226,UsaCstSE,USA,840,United States,"697,631,363,740.34","640,526,198,611.00",91.81%
227,Great_Lakes_Basin,GLU227,GreatLakes,CAN,124,Canada,"1,055,373,056,485.64","640,954,287,276.00",60.73%
228,Ohio_River_Basin,GLU228,OhioR,USA,840,United States,"423,175,555,466.93","404,245,326,267.00",95.53%
229,Pacific_Northwest_Basin,GLU229,UsaPacNW,USA,840,United States,"814,961,503,888.00","433,541,510,626.00",53.20%
230,Tennessee_River_Basin,GLU230,TennR,USA,840,United States,"107,049,890,474.00","96,053,195,375.90",89.73%
231,Rio_Grande_River_Basin,GLU231,RioGrande,USA,840,United States,"626,440,017,259.26","549,074,513,155.00",87.65%
232,New_England_Basin,GLU232,UsaCstNE,USA,840,United States,"195,928,800,066.20","169,357,003,575.00",86.44%
233,Mid_Atlantic_Basin,GLU233,UsaCstE,USA,840,United States,"251,754,039,640.00","219,264,859,334.00",87.09%
234,Hawaii,GLU234,Hawaii,USA,840,United States,"16,819,831,896.54","13,169,079,254.80",78.29%
235,Narmada,GLU235,NarmadaR,IND,356,India,"99,881,270,001.80","96,143,272,649.90",96.26%
