# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,South Asia traded corn,South Asia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,South Asia traded corn,South Asia traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,South Korea traded corn,South Korea traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,South Korea traded corn,South Korea traded corn,trn_shipping_intl,0.00045208,2000,4000,4000,4000,4000
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,USA traded corn,USA traded corn,trn_freight,3.62E-05,600,600,600,600,600
USA,traded corn,USA traded corn,USA traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Africa_Eastern traded fibercrop,Africa_Eastern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Africa_Eastern traded fibercrop,Africa_Eastern traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Africa_Northern traded fibercrop,Africa_Northern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Africa_Northern traded fibercrop,Africa_Northern traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Africa_Southern traded fibercrop,Africa_Southern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Africa_Southern traded fibercrop,Africa_Southern traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
